[INFO] 2026-02-21 12:36:45,155 django.server "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[INFO] 2026-02-21 12:36:48,494 django.server "GET /admin/uploads/upload/ HTTP/1.1" 200 13033
[INFO] 2026-02-21 12:36:48,536 django.server "GET /static/admin/css/changelists.css HTTP/1.1" 200 7498
[INFO] 2026-02-21 12:36:48,536 django.server "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2026-02-21 12:36:48,536 django.server "GET /static/admin/js/core.js HTTP/1.1" 200 6208
[INFO] 2026-02-21 12:36:48,538 django.server "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
[INFO] 2026-02-21 12:36:48,545 django.server "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
[INFO] 2026-02-21 12:36:48,547 django.server "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[INFO] 2026-02-21 12:36:48,547 django.server "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[INFO] 2026-02-21 12:36:48,552 django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2026-02-21 12:36:48,552 django.server "GET /static/admin/img/search.svg HTTP/1.1" 200 607
[INFO] 2026-02-21 12:36:48,557 django.server "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[INFO] 2026-02-21 12:36:48,558 django.server "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[INFO] 2026-02-21 12:36:48,566 django.server "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[INFO] 2026-02-21 12:36:48,598 django.server "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
[INFO] 2026-02-21 12:36:48,599 django.server "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
[INFO] 2026-02-21 12:37:19,828 django.server "GET /admin/ HTTP/1.1" 200 7187
[INFO] 2026-02-21 12:37:23,304 django.server "GET /admin/uploads/inferenceresult/ HTTP/1.1" 200 10563
[INFO] 2026-02-21 12:37:23,343 django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2026-02-21 12:37:28,610 django.server "GET /admin/uploads/inferenceresult/1/change/ HTTP/1.1" 200 13114
[INFO] 2026-02-21 12:37:28,645 django.server "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[INFO] 2026-02-21 12:37:28,645 django.server "GET /static/admin/css/forms.css HTTP/1.1" 200 8817
[INFO] 2026-02-21 12:37:28,647 django.server "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2026-02-21 12:37:28,650 django.server "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
